"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"LCORL_TARGET_GENES","LCORL_TARGET_GENES","LCORL_TARGET_GENES","25/704","458/27978",0.000279353494167992,0.0154488816114316,0.0126349743083192,"58473/211/7145/6319/28231/2717/196/7468/2335/23397/5447/10956/5292/351/6768/196463/29028/516/29127/55450/1508/124583/345778/6165/55319",25
"MIR520G_3P_MIR520H","MIR520G_3P_MIR520H","MIR520G_3P_MIR520H","15/704","209/27978",0.00028567600274055,0.0154488816114316,0.0126349743083192,"54443/55632/9701/171177/7046/1026/5819/891/2799/5045/5099/1163/27333/1435/3887",15
"MIR3912_5P","MIR3912_5P","MIR3912_5P","9/704","85/27978",0.000287995129906848,0.0154488816114316,0.0126349743083192,"2239/9780/10135/2625/10161/5045/2674/11254/4082",9
"MIR608","MIR608","MIR608","15/704","210/27978",0.000300666520032122,0.0156736789294171,0.0128188263442636,"7023/4923/3488/1026/5420/84824/116113/408/1952/10525/1915/89797/1946/4059/2878",15
"MIR3714","MIR3714","MIR3714","24/704","434/27978",0.000304120459444976,0.0156736789294171,0.0128188263442636,"64834/2239/7145/80381/196/1303/5618/8992/81562/10314/1026/79710/429/283537/396/10018/347734/8682/824/6241/111/9516/23654/9060",24
"MIR494_3P","MIR494_3P","MIR494_3P","22/704","382/27978",0.000307838567521841,0.0156736789294171,0.0128188263442636,"7035/56919/1829/93166/5241/9209/10135/5054/7456/29066/5565/26509/57575/283537/57182/5352/5569/26960/1163/345778/387914/9824",22
"ER_Q6_02","ER_Q6_02","ER_Q6_02","17/704","259/27978",0.000332622369793995,0.0166532933143527,0.0136200107210383,"6482/3055/80303/3925/64207/1026/1948/29948/1382/2746/673/5364/1345/6609/22843/627/6657",17
"MIR144_3P","MIR144_3P","MIR144_3P","26/704","495/27978",0.000383383381921235,0.0188800603162523,0.0154411874616767,"2519/4254/6558/11320/334/7023/858/7046/2625/6387/2335/23767/55165/351/481/57282/10018/861/2899/4886/2898/5099/414149/345778/4603/1903",26
"CGTSACG_PAX3_B","CGTSACG_PAX3_B","CGTSACG_PAX3_B","12/704","149/27978",0.000404423705429823,0.0194673260654125,0.0159214868023943,"8555/5932/30844/25902/1026/8553/10769/8573/673/1960/84975/23466",12
"MIR4477A","MIR4477A","MIR4477A","22/704","390/27978",0.000408269488056255,0.0194673260654125,0.0159214868023943,"7175/23594/5618/51421/30818/9928/81533/8553/10970/3832/283537/57282/8573/29028/673/23306/22843/387914/23705/4673/389792/56967",22
"AP1_Q2","AP1_Q2","AP1_Q2","17/704","265/27978",0.000432788407543313,0.0203140058790643,0.0166139497237844,"1591/7431/113878/642/55603/57486/23164/6386/9746/4240/8573/196463/4054/10761/11065/5101/4810",17
"MIR450A_2_3P","MIR450A_2_3P","MIR450A_2_3P","11/704","130/27978",0.000458931475243331,0.0212096946404764,0.0173464949508977,"2260/5618/8503/57486/5819/4008/57282/673/23466/4059/1903",11
"AP1_Q6_01","AP1_Q6_01","AP1_Q6_01","17/704","267/27978",0.00047150647892919,0.0214606888288377,0.0175517722778426,"64063/9209/55603/4602/8727/23164/9445/5292/6386/9746/8573/8878/93185/624/1649/7262/5101",17
"MIR513A_5P","MIR513A_5P","MIR513A_5P","21/704","369/27978",0.000488118273760678,0.0218851834981653,0.017898948169009,"7175/4254/11320/334/2625/900/4602/6185/51280/2799/10970/1545/79932/10769/64084/861/84289/624/5569/118430/130872",21
"MIR4518","MIR4518","MIR4518","9/704","92/27978",0.000520229132479223,0.0229818869701115,0.0187958946626394,"9319/7456/6513/81930/55143/150696/7039/390205/2878",9
"AP1FJ_Q2","AP1FJ_Q2","AP1FJ_Q2","17/704","271/27978",0.000557968331200615,0.024095293320482,0.0197065017205147,"1591/7431/113878/642/57486/23164/6386/9746/8573/196463/1915/673/4054/10761/11065/5101/4810",17
"MIR6842_5P","MIR6842_5P","MIR6842_5P","12/704","155/27978",0.00057731712881576,0.024095293320482,0.0197065017205147,"4923/80381/30818/3488/5914/116113/10525/90993/284110/81876/64837/1946",12
"HEN1_01","HEN1_01","HEN1_01","14/704","200/27978",0.000577517017002231,0.024095293320482,0.0197065017205147,"7023/23002/51599/3614/64207/79586/652/4245/116113/90993/10761/627/11248/23466",14
"HEN1_02","HEN1_02","HEN1_02","14/704","200/27978",0.000577517017002231,0.024095293320482,0.0197065017205147,"79960/23002/51599/57130/3614/64207/79586/652/57153/4245/4609/90993/4041/23466",14
"AR_03","AR_03","AR_03","7/704","58/27978",0.000611950185377742,0.0248418696874965,0.0203170943481031,"54498/3655/7483/284110/81876/627/7405",7
"ZA_UNIPROT_Q9UM89_UNREVIEWED_TARGET_GENES","ZA_UNIPROT_Q9UM89_UNREVIEWED_TARGET_GENES","ZA_UNIPROT_Q9UM89_UNREVIEWED_TARGET_GENES","7/704","58/27978",0.000611950185377742,0.0248418696874965,0.0203170943481031,"3675/22978/25902/1915/26233/55666/8349",7
"MIR510_3P","MIR510_3P","MIR510_3P","21/704","376/27978",0.000622294396161232,0.0249249648809112,0.0203850543247764,"1829/7175/11320/24137/858/5054/2625/9528/81930/1948/23767/5292/57575/283537/675/341640/5352/10018/22843/23705/5101",21
