"","Nalm6_0hr_Pred_Rep1","Nalm6_0hr_Pred_Rep2","Nalm6_0hr_Pred_Rep3","A687_24hr_Pred_Rep1","A687_24hr_Pred_Rep2","A687_24hr_Pred_Rep3"
"AC003973.3",0,0,0,1,0,0
"AC003973.4",0,0,0,0,1,1
"AC003973.5",0,0,0,0,0,0
"AC003984.1",0,0,0,0,0,0
"AC003985.1",0,0,0,0,0,0
"AC003986.5",0,0,0,0,0,0
"AC003986.6",0,0,0,0,0,0
"AC003986.7",0,0,0,0,0,0
"AC003988.1",0,0,0,0,0,0
"AC003989.3",0,0,0,0,0,0
"AC003989.4",0,0,0,0,0,0
"AC003991.3",24,5,13,2,2,9
"AC004004.2",0,0,0,0,0,0
"AC004006.2",0,0,2,0,0,0
"AC004009.1",0,0,0,0,0,0
"AC004009.2",0,0,0,0,0,0
"AC004009.3",0,0,0,0,0,0
"AC004012.1",0,0,0,0,0,0
"AC004014.3",0,0,0,0,0,0
"AC004019.10",2,1,0,0,1,0
"AC004019.13",12,19,26,1,0,2
"AC004019.18",0,0,0,0,0,0
"AC004022.7",0,0,0,0,0,0
"AC004022.8",0,0,0,0,0,0
"AC004051.2",0,0,0,0,0,0
"AC004053.1",0,0,0,0,0,0
"AC004054.1",0,0,0,0,0,0
"AC004057.1",237,150,193,81,93,76
"AC004062.2",0,0,0,0,0,0
"AC004063.1",0,0,0,0,0,0
"AC004066.2",2,1,0,0,0,0
"AC004066.3",0,0,0,0,0,0
"AC004067.5",18,26,20,3,0,0
"AC004069.1",0,0,0,0,0,0
"AC004069.2",30,26,29,3,9,3
"AC004070.1",0,0,0,0,0,0
"AC004074.4",0,0,0,0,0,0
"AC004076.5",338,271,340,56,85,62
"AC004076.7",52,37,54,4,5,6
"AC004076.9",0,2,3,1,2,0
"AC004112.4",0,0,0,0,1,1
"AC004125.3",0,0,0,0,0,0
"AC004129.7",0,0,0,0,0,0
"AC004129.9",0,0,0,0,0,0
"AC004156.3",21,15,31,17,7,10
"AC004158.3",0,0,0,0,0,0
"AC004159.1",0,1,0,0,0,0
"AC004160.4",2,2,0,0,0,0
"AC004221.2",5,4,4,1,0,1
"AC004231.2",2,0,3,0,0,0
"AC004237.1",0,0,0,0,0,0
"AC004257.1",1,1,0,0,1,0
