"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HMGB3P6",5.75002189420022,-0.314968470908186,0.821335626174354,-0.383483269044662,0.701361473225675,0.757576359374861
"AP000797.1",3.71363798342764,0.378250397377383,0.986905963626625,0.383268934749781,0.701520370345831,0.757713089094398
"FAM207BP",3.61192907943378,-0.395533159030879,1.03213345352146,-0.383219008822346,0.701557384897808,0.757718166757344
"RP11-100N21.1",146.404063710189,-0.0759058740786608,0.198108457907606,-0.38315312168076,0.701606234008296,0.757736025297556
"MIR940",94.8273652857371,0.0792854363071831,0.207159015462191,0.382727423811558,0.701921878603555,0.758042008537501
"ABHD17AP5",2.16654080318484,0.487567900859677,1.27413350375386,0.382666258616699,0.701967235331764,0.758056079086973
"RP11-220D10.1",2.45666184263773,0.478503150463885,1.25166748812999,0.382292545745337,0.702244383197414,0.758320448611382
"VN1R108P",17.5025978149425,0.17723875160305,0.464255658158414,0.38176971780185,0.70263218220154,0.758704275209243
"RP1-5O6.4",4.08794548588448,0.350001637559753,0.917564491185267,0.381446362541381,0.702872064382919,0.758928352798042
"AC080125.1",4.21194091022641,0.393032230350775,1.03123320516347,0.381128369783702,0.703107997231325,0.759148145643123
"AC080002.1",3.00845340163399,-0.425787035324914,1.11734292456189,-0.381071044497701,0.703150532431464,0.759149169888016
"RP11-881M11.2",1.26121260366502,-0.695927697659343,1.82639095750015,-0.381039828740658,0.703173694825695,0.759149169888016
"VDAC2P3",1.2565076421413,-0.689213992275231,1.81136880463574,-0.380493464672331,0.703579146853377,0.759551927377415
"MUC1",128.278458151693,0.0657205052088352,0.172760378761623,0.380414222751371,0.703637958596467,0.759580447984925
"RP11-109P14.10",6.24663921277736,-0.296876741793592,0.780825168679729,-0.380208981090569,0.703790293027272,0.759709919495305
"GAPDHP69",4.58536744639229,-0.364281597321757,0.958255860778015,-0.380150659371907,0.703833582732672,0.75972167563517
"ATP5G2P4",5.78460914404871,0.303129318935953,0.799272974912447,0.379256309734678,0.704497540167041,0.760403351870055
"MESDC2",4214.99138214441,-0.0148189787930544,0.0390811016166794,-0.379185288541862,0.704550275345869,0.760425269565741
"CTD-2619J13.5",242.202588246444,0.0487469626612407,0.128602997328621,0.379049972969736,0.704650754790908,0.760498713540387
"NOSTRIN",14.1869850991876,-0.20597313466604,0.543655562926161,-0.378866967823183,0.704786654633202,0.760610376679582
"AC006978.6",389.129510937147,-0.0399248878212398,0.105392038133767,-0.378822618180756,0.704819590149719,0.760610914879689
"APOBEC3D",637.967963831866,0.0322056235291335,0.0850369676981447,0.378724975747649,0.704892104611641,0.760625747132095
"IBA57-AS1",19.5622675940841,0.165064730063116,0.435852725180639,0.3787167557452,0.704898209344857,0.760625747132095
"RP1-20B21.4",10.334525073188,-0.24401397817414,0.644420536955716,-0.378656427256148,0.704943013967915,0.76063909141053
"CTD-3028N15.3",1.25180268061758,-0.682450020388365,1.80769178890285,-0.377525651539618,0.705783005100767,0.76144033524766
"ZC2HC1A",1.25180268061758,-0.682450020388365,1.80769178890285,-0.377525651539618,0.705783005100767,0.76144033524766
"ZNF57",712.201683445939,0.0284197613023032,0.0752720699488592,0.377560512439899,0.705757103490913,0.76144033524766
"RP11-115C21.2",184.740223491051,-0.0586802655415791,0.155563291765977,-0.377211518703624,0.706016420818563,0.761657115006188
"CDC42P3",2.41855112030824,-0.49927320262556,1.32478176794048,-0.376872036366967,0.70626870352518,0.761808917630117
"EEF1A1P12",307.207772001482,0.103647968750282,0.27503420819623,0.376854826277944,0.706281493880641,0.761808917630117
"RGPD3",12.8879499269842,0.197083317520898,0.523039916125271,0.376803588875033,0.706319573465665,0.761808917630117
"TVP23A",3.63496164742548,0.372789866156153,0.989253157786185,0.376839702984024,0.706292733420613,0.761808917630117
"ZNF74",2130.84247641346,0.0180433644298669,0.0478751448643888,0.37688375629936,0.706259993443325,0.761808917630117
"AC079248.1",3.96351693975009,-0.36258308061522,0.962914040501611,-0.376547713881438,0.706509750498629,0.761943942392602
"GOT2P2",3.96351693975009,-0.36258308061522,0.962914040501611,-0.376547713881438,0.706509750498629,0.761943942392602
"RP11-367N14.2",14.4010394816154,0.189808090873222,0.505064469213338,0.375809629152605,0.707058428668528,0.762500602182134
"CTD-2530H12.4",1.87127130341215,-0.537799230395767,1.43231191399162,-0.375476336643049,0.70730624189158,0.762732769193638
"RP11-545M17.1",1.93524352082418,-0.539485255859735,1.43766050236913,-0.375252192691331,0.707472917251349,0.762877422819226
"AC083873.4",29.7407141807765,0.141347768862623,0.377447813645913,0.374482945065413,0.708045042942511,0.763353940779722
"DTX2P1",3.17856167384742,0.395157938570442,1.05491504367802,0.374587452267912,0.707967306331397,0.763353940779722
"RAP1BP1",5.60722989338011,0.309124195007759,0.825443469085361,0.374494688715978,0.708036307396698,0.763353940779722
"RPL17P26",5.59186405671783,-0.300961301020674,0.80365468537681,-0.374490818627608,0.708039186168016,0.763353940779722
"ANKRD26P3",116.528688894043,-0.0706219299653853,0.188692778067557,-0.37426938480974,0.708203907009205,0.763490111510223
"EHMT2",10309.1694569196,0.0133860648319431,0.0357964874711729,0.373949115614291,0.708442173952607,0.763711867277247
"FLJ27354",277.774468402831,-0.0432780875990696,0.115800658999407,-0.373729199583323,0.70860579884782,0.763853141046408
"GTF2IRD1P1",7.21080125063813,-0.264599720796174,0.70905223650235,-0.373173804657052,0.70901909113659,0.76426352248147
"CDC37L1",962.522439421178,-0.0247262628964239,0.0662967155212229,-0.372963618212859,0.709175521896026,0.764397003582621
"NOMO2",1906.55090720417,0.0213616761867642,0.0572854185859464,0.372899015387569,0.709223604858732,0.764413693249329
"SPAG17",5.76299597540658,-0.31968847199635,0.858062653467094,-0.372570080639933,0.709468444266584,0.764642439196908
"DTD1",11.0954632918452,-0.213785544510141,0.574607744918857,-0.3720547563109,0.709852081283429,0.765020748874673
"TERB1",15.8131379471546,-0.18253541336896,0.490717343086549,-0.371976690737758,0.709910204196127,0.765048227317201
"FDX2",3.38356606956891,-0.399063046386268,1.07299892694657,-0.371913742282932,0.709957073044422,0.765063575635048
"SMARCE1P5",20.5071014208258,0.157808770284558,0.424458096457971,0.371788809311084,0.710050096282096,0.765128657126
"CHKB-CPT1B",43.7175345284628,0.107730407995077,0.289969016007673,0.371523859612042,0.71024738819481,0.765306084265238
"RP11-249L21.4",8.33159215353356,-0.251384408003633,0.676753492681514,-0.371456388067638,0.710297633249891,0.765325056383619
"RP11-98D18.3",13.4105471881973,-0.195479942929947,0.526525028181426,-0.371264294130745,0.710440689641808,0.765444023681803
"RP11-108M9.6",5.79077087384021,0.30931705016126,0.834300109043284,0.370750341284221,0.710823491282628,0.765821274848902
"AL133168.3",5.73214080753311,-0.304758105105623,0.822380274148741,-0.370580514496268,0.710949997472635,0.765910110362995
"UXT-AS1",31.3202780846894,0.128035602189412,0.345526721650795,0.370551954933345,0.710971272645798,0.765910110362995
"RP11-181C3.1",27.9762656159516,-0.135550809040286,0.3660153229776,-0.370341896993699,0.711127760215348,0.766043497302908
"CRYM",1.71815635315718,0.563686800523614,1.52271197270806,0.370186096009429,0.711243835662234,0.766133341101737
"RP13-516M14.4",21.7918368060136,-0.155760198095934,0.421004445174339,-0.36997281116933,0.711402748807145,0.766234121389864
"SEC23B",4158.55859301847,-0.0147172935421939,0.0397777135500227,-0.36998842388681,0.711391115740405,0.766234121389864
"CTC-232H10.1",1.6461208662729,0.551618340084128,1.49171388486884,0.369788299002546,0.711540234277249,0.76634700319526
"HSPD1P3",5.13332234533521,-0.322199159317077,0.871731496827252,-0.369608257232589,0.711674397765392,0.766456296936603
"KIF20B",4764.49976533965,0.0165482564121098,0.0448100584069087,0.369297809474812,0.71190575812823,0.766670254539766
"AFG3L2P1",7.01943087177351,-0.276317209287766,0.74837758363222,-0.369221654056862,0.711962516802633,0.766696167922155
"RP11-302I18.1",12.1095016522845,-0.233605109101801,0.632807316594478,-0.369156776440216,0.712010871384559,0.766713029164976
"CTD-2036P10.3",17.1963186478103,-0.173999857819576,0.471610163385003,-0.368948490360522,0.712166118981268,0.766844988932899
"RP13-638C3.5",3.00218330553782,0.439356128671846,1.19169391895624,0.368682026217487,0.712364747429311,0.767023645994577
