"","Nalm6_0hr_Pred_Rep1","Nalm6_0hr_Pred_Rep2","Nalm6_0hr_Pred_Rep3","A687_24hr_Pred_Rep1","A687_24hr_Pred_Rep2","A687_24hr_Pred_Rep3"
"CTD-2583A14.1",0,0,0.565775870622515,8.79419552707042,9.84193551351023,18.9850987802843
"CTD-2583A14.11",202.55592315981,181.38667583443,198.587330588503,171.486812777873,160.282949791452,195.028742015648
"CTD-2583A14.8",24.9482368701232,25.6830691446981,21.4994830836556,19.0540903086526,25.3078341775977,12.0814264965446
"CTD-2587H19.3",3.56403383858903,4.01297955385907,3.39465522373509,4.39709776353521,2.81198157528864,3.45183614186988
"CTD-2587H24.14",173.449646811333,183.794463566746,194.626899494145,52.7651731624225,44.9917052046182,48.3257059861783
"CTD-2587H24.5",0,0.802595910771815,0,5.86279701804695,11.2479263011545,3.45183614186988
"CTD-2587M2.1",18.41417483271,16.8545141262081,18.1048278599205,27.848285835723,36.5557604787523,50.0516240571132
"CTD-2588E21.1",1.18801127952968,0,3.39465522373509,8.79419552707042,8.43594472586591,10.3555084256096
"CTD-2589H19.6",66.5286316536619,52.9713301109398,48.0909490029138,61.5593686894929,49.2096775675512,43.1479517733734
"CTD-2591A1.1",0,0.802595910771815,2.82887935311258,2.93139850902347,8.43594472586591,5.17775421280481
"CTD-2595P9.4",31.4822989075364,27.2882609662417,20.3679313424106,39.5738798718169,39.3677420540409,58.6812144117879
"CTD-2600H12.2",81.3787726477829,87.4829542741278,57.7091388034966,14.6569925451174,16.8718894517318,24.1628529930891
"CTD-2600O9.2",16.6321579134155,25.6830691446981,31.6834487548609,23.4511880721878,25.3078341775977,20.7110168512193
"CTD-2616J11.10",13.0681240748264,22.4726855016108,13.0128450243179,13.1912932906056,12.6539170887989,20.7110168512193
"CTD-2616J11.14",6.53406203741322,8.82855501848996,13.0128450243179,29.3139850902347,18.2778802393761,36.2442794896337
"CTD-2616J11.16",4.75204511811871,2.40778773231545,1.13155174124503,0,0,0
"CTD-2616J11.2",27.9182650689474,23.2752814123826,25.4599141780132,86.4762560161925,74.5175117451489,96.6514119723565
"CTD-2616J11.3",14.2561353543561,7.22336319694633,9.05241392996024,39.5738798718169,29.5258065405307,58.6812144117879
"CTD-2619J13.13",10.0980958760023,4.81557546463089,4.52620696498012,1.46569925451174,1.40599078764432,1.72591807093494
"CTD-2619J13.14",414.021930916093,472.728991444599,480.343714158515,697.672845147587,620.041937351144,621.330505536578
"CTD-2619J13.16",68.9046542127213,75.4440156125506,62.2353457684767,23.4511880721878,23.9018433899534,32.7924433477638
"CTD-2619J13.19",59.4005639764839,39.3271996278189,41.3016385554436,32.2453835992582,26.7138249652421,24.1628529930891
"CTD-2619J13.23",47.5204511811871,62.6024810402016,40.1700868141986,65.9564664530281,73.1115209575046,84.5699854758119
"CTD-2619J13.27",7.12806767717806,9.63115092926178,11.8812932830728,29.3139850902347,37.9617512663966,25.8887710640241
"CTD-2619J13.3",39.2043722244793,27.2882609662417,31.1176728842383,41.0395791263286,39.3677420540409,51.7775421280481
"CTD-2619J13.5",233.444216427582,234.35800594537,244.980951979549,249.168873266995,215.116590509581,276.14689134959
"CTD-2619J13.8",27.9182650689474,16.8545141262081,20.3679313424106,114.324541851915,88.5774196215921,105.281002327031
"CTD-2619J13.9",443.722212904334,407.718722672082,418.108368390039,225.717685194807,255.890323351266,236.450775718086
"CTD-2620I22.2",3.56403383858903,3.21038364308726,1.69732761186755,4.39709776353521,7.02995393822159,3.45183614186988
"CTD-2621I17.3",62.3705921753081,80.2595910771815,55.4460353210065,101.13324856131,91.3894011968807,107.006920397966
"CTD-2622I13.3",76.0327218898993,70.6284401479197,58.2749146741191,52.7651731624225,53.4276499304841,51.7775421280481
"CTD-2623N2.11",9.50409023623742,4.81557546463089,5.65775870622515,5.86279701804695,5.62396315057727,8.62959035467469
"CTD-2623N2.3",37.4223553051848,36.1168159847317,49.2225007441588,55.696571671446,67.4875578069273,56.9552963408529
"CTD-2630F21.1",58.806558336719,60.1946933078861,61.6695698978542,222.786286685784,229.176498386024,279.59872749146
"CTD-2636A23.2",2.97002819882419,4.01297955385907,0.565775870622515,2.93139850902347,2.81198157528864,0
"CTD-2639E6.4",5.34605075788355,5.6181713754027,6.22353457684767,2.93139850902347,0,3.45183614186988
"CTD-2639E6.9",14.850140994121,4.01297955385907,9.05241392996024,4.39709776353521,2.81198157528864,6.90367228373975
"CTD-2643K12.1",4.75204511811871,6.42076728617452,2.26310348249006,0,2.81198157528864,0
"CTD-2647E9.1",2.97002819882419,5.6181713754027,2.26310348249006,0,5.62396315057727,0
"CTD-2647L4.4",147.31339866168,142.862072117383,121.641812183841,246.237474757972,208.086636571359,212.287922724997
"CTD-2649C14.1",0.594005639764839,3.21038364308726,2.82887935311258,0,0,0
"CTD-2649C14.2",129.493229468735,141.256880295839,106.931639547655,128.981534397033,156.064977428519,157.058544455079
"CTD-2649C14.3",5.94005639764839,4.81557546463089,4.52620696498012,1.46569925451174,5.62396315057727,6.90367228373975
"CTD-2650P22.1",15.4441466338858,11.2363427508054,7.92086218871521,1.46569925451174,1.40599078764432,6.90367228373975
"CTD-2650P22.2",20.7901973917694,14.4467263938927,18.1048278599205,5.86279701804695,4.21797236293296,3.45183614186988
"CTD-2651B20.1",14.850140994121,20.0648977692954,23.1968106955231,42.5052783808404,16.8718894517318,20.7110168512193
"CTD-2651B20.3",7.12806767717806,7.22336319694633,8.48663805933773,14.6569925451174,9.84193551351023,8.62959035467469
"CTD-2651B20.4",5.34605075788355,4.01297955385907,5.09198283560264,0,0,0
"CTD-2651B20.6",16.0381522736506,13.6441304831209,14.7101726361854,1.46569925451174,2.81198157528864,1.72591807093494
"CTD-2651B20.7",0.594005639764839,0,2.82887935311258,10.2598947815822,0,1.72591807093494
"CTD-2653M23.3",7.12806767717806,2.40778773231545,4.52620696498012,2.93139850902347,7.02995393822159,1.72591807093494
"CTD-2655K5.1",2.37602255905935,0,2.26310348249006,2.93139850902347,4.21797236293296,17.2591807093494
"CTD-2659N19.10",1.18801127952968,1.60519182154363,1.69732761186755,7.32849627255868,0,1.72591807093494
"CTD-2659N19.9",5.34605075788355,1.60519182154363,1.13155174124503,0,0,1.72591807093494
"CTD-2666L21.1",166.91558477392,209.477532711444,182.745606211072,52.7651731624225,66.081567019283,70.7626409083324
"CTD-2666L21.2",5.34605075788355,3.21038364308726,2.82887935311258,1.46569925451174,4.21797236293296,0
"CTD-2666L21.3",5.34605075788355,9.63115092926178,6.78931044747018,19.0540903086526,9.84193551351023,0
"CTD-3001H11.2",8.91008459647258,6.42076728617452,12.4470691536953,17.5883910541408,19.6838710270205,10.3555084256096
"CTD-3014M21.1",64.1526090946026,69.0232483263761,61.6695698978542,73.2849627255868,52.0216591428398,43.1479517733734
"CTD-3018O17.5",0.594005639764839,0,0.565775870622515,51.2994739079108,44.9917052046182,41.4220337024385
"CTD-3020H12.4",4.75204511811871,11.2363427508054,8.48663805933773,0,1.40599078764432,3.45183614186988
"CTD-3025N20.3",51.678490659541,49.7609464678525,44.1305179085562,20.5197895631643,39.3677420540409,20.7110168512193
"CTD-3028N15.3",2.37602255905935,0,2.26310348249006,1.46569925451174,1.40599078764432,0
"CTD-3030D20.1",13.6621297145913,8.02595910771815,2.26310348249006,7.32849627255868,9.84193551351023,13.8073445674795
"CTD-3035D6.1",53.4605075788355,44.9453710032216,41.3016385554436,42.5052783808404,68.8935485945716,27.614689134959
"CTD-3035D6.2",1.78201691929452,4.01297955385907,3.96043109435761,1.46569925451174,0,5.17775421280481
"CTD-3035K23.6",58.2125526969542,53.7739260217116,61.6695698978542,5.86279701804695,7.02995393822159,6.90367228373975
"CTD-3035K23.7",20.1961917520045,16.8545141262081,18.1048278599205,20.5197895631643,28.1198157528864,15.5332626384144
"CTD-3051D23.1",0,2.40778773231545,2.82887935311258,7.32849627255868,18.2778802393761,8.62959035467469
"CTD-3064M3.4",4.15803947835387,0.802595910771815,2.26310348249006,45.4366768898638,30.931797328175,44.8738698443084
"CTD-3064M3.7",1.18801127952968,5.6181713754027,1.69732761186755,43.9709776353521,28.1198157528864,63.8589686245927
"CTD-3065B20.3",1.18801127952968,2.40778773231545,3.39465522373509,5.86279701804695,2.81198157528864,15.5332626384144
"CTD-3065J16.9",17.8201691929452,16.0519182154363,14.7101726361854,29.3139850902347,14.0599078764432,13.8073445674795
"CTD-3074O7.5",150.877432500269,188.610039031377,174.258968151735,243.306076248948,243.236406262467,257.161792569306
"CTD-3075F15.1",2.37602255905935,3.21038364308726,2.82887935311258,0,0,0
"CTD-3076O17.1",7.12806767717806,10.4337468400336,10.7497415418278,4.39709776353521,4.21797236293296,0
"CTD-3076O17.2",5.34605075788355,3.21038364308726,5.65775870622515,0,0,1.72591807093494
"CTD-3088G3.8",93.8528910828445,113.166023418826,83.1690529815097,8.79419552707042,5.62396315057727,1.72591807093494
"CTD-3092A11.1",81.3787726477829,55.3791178432552,79.2086218871521,49.833774653399,77.3294933204375,55.229378269918
"CTD-3092A11.2",274.430605571355,276.092993305504,274.967073122542,230.114782958343,219.334562872514,255.435874498371
"CTD-3092A11.3",3.56403383858903,2.40778773231545,2.82887935311258,0,0,0
